" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"37318 TARDAGUILA",           1,
,"37322 TERRADILLOS",           3,
,"37324 TORDILLOS",           3,
,"37330 VALDECARROS",           1,
,"37347 VELLES (LA)",           3,
,"37348 VENTOSA DEL RIO ALMAR",           3,
,"37351 VILLAFLORES",           2,
,"37354 VILLAMAYOR",          37,
,"37357 VILLAR DE CIERVO",           1,
,"37360 VILLAR DE PERALONSO",           1,
,"37362 VILLARES DE LA REINA",          55,
,"37364 VILLARINO DE LOS AIRES",           4,
,"37365 VILLARMAYOR",           1,
,"37371 VILLASRUBIAS",           1,
,"37374 VILLORIA",           2,
,"37375 VILLORUELA",           2,
,"37376 VITIGUDINO",           1,
,"37382 ZORITA DE LA FRONTERA",           1,
,"40001 ABADES",           1,
,"40003 ADRADOS",           1,
,"40004 AGUILAFUENTE",           1,
,"40005 ALCONADA DE MADERUELO",           1,
,"40012 ALDEA REAL",           3,
,"40013 ALDEASOÑA",           1,
,"40024 AYLLON",          16,
,"40030 BERNARDOS",           1,
,"40032 BOCEGUILLAS",           1,
,"40036 CABEZUELA",           4,
,"40039 CAMPO DE SAN PEDRO",           1,
,"40040 CANTALEJO",          17,
,"40041 CANTIMPALOS",           1,
,"40043 CARBONERO EL MAYOR",          27,
,"40048 CASTROJIMENO",           1,
,"40057 COCA",           4,
,"40058 CODORNIZ",           1,
,"40063 CUELLAR",          68,
,"40065 CHAÑE",           6,
,"40076 ESPINAR (EL)",           8,
,"40078 FRESNEDA DE CUELLAR",           3,
,"40080 FRESNO DE LA FUENTE",           1,
,"40081 FRUMALES",           1,
,"40086 FUENTEPELAYO",          14,
,"40087 FUENTEPIÑEL",           1,
,"40088 FUENTERREBOLLO",           1,
,"40089 FUENTESAUCO DE FUENTIDUEÑA",           2,
,"40091 FUENTESOTO",           2,
,"40095 GOMEZSERRACIN",           5,
,"40097 GRAJERA",           1,
,"40100 HONTALBILLA",           1,
,"40101 HONTANARES DE ERESMA",           1,
,"40106 JUARROS DE VOLTOYA",           2,
,"40107 LABAJOS",           1,
,"40109 LANGUILLA",           1,
,"40110 LASTRAS DE CUELLAR",           1,
,"40112 LASTRILLA (LA)",           5,
,"40113 LOSA (LA)",           1,
,"40115 MADERUELO",           1,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",           7,
,"40134 MOZONCILLO",           8,
